Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TB01-Click-on-Sigin,593,65,86,100,103,109,0,658,0.000%,.32961,0.63,0.27
TB01-1-Click-on-Sigin,591,65,86,100,103,109,27,658,0.000%,.32904,0.63,0.27
TB02-Click-on-Login,591,92,92,99,101,103,0,105,0.000%,.32916,1.37,0.96
TB02-1-Click-on-Login,590,61,61,66,67,69,55,70,0.000%,.33117,0.73,0.70
TB02-1-Click-on-Login-0,590,30,30,33,34,34,27,35,0.000%,.33118,0.07,0.39
TB02-1-Click-on-Login-1,590,30,31,33,34,35,27,36,0.000%,.33118,0.65,0.30
TB02-2-Click-on-Login,590,30,31,33,34,35,27,37,0.000%,.33118,0.65,0.28
TB03-Click-on-Fish,590,31,31,33,34,35,27,37,0.000%,.33118,0.56,0.27
TB03-1-Click-on-Fish,590,31,31,33,34,35,27,37,0.000%,.33118,0.56,0.27
TB04-Select-Product,590,31,31,34,34,36,27,38,0.000%,.33118,0.59,0.28
TB04-1-Select-Product,590,31,31,34,34,36,27,38,0.000%,.33118,0.59,0.28
TB05-Add-to-Cart,590,31,32,34,35,36,0,38,0.000%,.33119,0.70,0.28
TB05-1-Add-to-Cart,589,31,32,34,35,36,28,38,0.000%,.33088,0.70,0.28
TB06-Click-on-Checkout,589,31,31,34,34,35,0,37,0.000%,.33089,0.77,0.28
TB06-1-Click-on-Checkout,588,31,31,34,34,35,27,37,0.000%,.33079,0.77,0.28
TB07-Click-on-Contiue,588,31,31,34,34,36,0,73,0.000%,.33079,0.65,0.49
TB07-1-Click-on-Contiue,586,31,31,34,34,36,27,73,0.000%,.33038,0.65,0.49
TB08-Click-on-Confirm,586,32,33,35,36,37,0,38,0.000%,.33039,0.72,0.27
TB08-1-Click-on-Confirm,585,32,33,35,36,37,29,38,0.000%,.33023,0.72,0.27
TB09-Logout,585,60,60,65,66,68,0,71,0.000%,.33023,0.73,0.54
TB09-1-Logout,583,60,60,65,66,68,54,71,0.000%,.32974,0.73,0.54
TB09-1-Logout-0,583,30,30,32,33,34,26,35,0.000%,.32974,0.07,0.27
TB09-1-Logout-1,583,30,30,33,34,35,27,37,0.000%,.32974,0.65,0.27
TOTAL,13530,40,32,66,93,101,0,658,0.000%,7.51873,14.72,8.46
