Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TA01-Launch-Page,715,39,33,37,93,106,0,662,0.000%,.39732,0.76,0.31
TA01-1-Launch-Page,712,40,33,37,93,106,29,662,0.000%,.39698,0.76,0.31
TA02-Click-on-Sigin,712,38,33,37,94,100,0,104,0.000%,.39713,0.76,0.32
TA02-1-Click-on-Sigin,710,38,33,37,94,100,29,104,0.000%,.39812,0.76,0.32
TA03-Click-on-Register-Now,710,38,34,38,94,103,29,109,0.000%,.39812,1.01,0.33
TA03-1-Click-on-Register-Now,710,38,34,38,94,103,29,109,0.000%,.39812,1.01,0.33
TA04-Click-on-Save,710,120,98,156,162,175,0,5068,0.141%,.39813,1.61,1.36
TA04-1-Click-on-Save,707,69,64,72,124,137,56,142,0.141%,.39772,0.85,1.03
TA04-1-Click-on-Save-0,706,38,33,37,94,103,29,107,0.000%,.39716,0.09,0.66
TA04-1-Click-on-Save-1,706,30,30,33,34,35,27,37,0.000%,.39716,0.76,0.37
TA04-2-Click-on-Save,705,38,33,37,92,101,28,104,0.000%,.39749,0.76,0.33
TOTAL,7803,48,34,95,101,156,0,5068,0.026%,4.33612,9.04,5.62
