Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TC01-Launch-Page,740,45,31,94,98,108,27,684,0.000%,.41193,0.79,0.31
TC01-1-Launch-Page,740,45,31,94,98,108,27,684,0.000%,.41195,0.79,0.31
TC02-1-Click-on-Sigin,1478,30,31,33,34,35,0,37,0.000%,.82310,1.57,0.66
TC03-Click-on-Login,738,98,91,98,101,104,0,3033,0.000%,.41170,1.70,1.19
TC03-1-Click-on-Login,737,59,61,66,67,69,29,72,0.000%,.41183,0.90,0.85
TC03-1-Click-on-Login-0,707,30,30,33,33,35,27,36,0.000%,.41186,0.09,0.49
TC03-1-Click-on-Login-1,707,30,30,33,34,35,27,38,0.000%,.41186,0.81,0.38
TC03-2-Click-on-Login,735,30,31,33,34,35,27,36,0.000%,.41165,0.81,0.34
TC04-Click-on-My-Accouint,735,44,32,95,100,105,0,124,0.000%,.41166,1.06,0.33
TC04-1-Click-on-My-Accouint,734,44,32,95,100,105,28,124,0.000%,.41157,1.07,0.33
TC05-Click-on-My-Orders,734,45,46,49,50,52,0,53,0.000%,.41158,0.67,0.34
TC05-1-Click-on-My-Orders,732,45,46,49,50,52,29,53,0.000%,.41127,0.67,0.34
TC06-View-Order,732,31,32,34,35,36,0,37,19.809%,.41129,0.78,0.34
TC06-1-View-Order,730,31,32,34,35,36,27,37,19.863%,.41213,0.78,0.34
TC07-Logout,730,60,60,65,66,69,54,71,0.000%,.41212,0.91,0.68
TC07-1-Logout,730,60,60,65,66,69,54,71,0.000%,.41212,0.91,0.68
TC07-1-Logout-0,730,29,30,32,33,34,27,35,0.000%,.41213,0.09,0.34
TC07-1-Logout-1,730,30,30,33,33,35,27,37,0.000%,.41213,0.82,0.34
TOTAL,13899,43,32,67,93,101,0,3033,2.086%,7.72420,15.04,8.49
